,index,Importance
0,failures,0.1255243389974333
1,absences,0.06507835181977788
2,school_MS,0.04908963202750535
3,goout,0.04822369758238149
4,age,0.04584115827638813
5,Walc,0.04511714769178078
6,studytime,0.04375821689070358
7,Medu,0.041130223389859624
8,Fedu,0.03984393519523718
9,higher_yes,0.03833688085741861
10,freetime,0.03689463432346216
11,health,0.03660257975420609
12,famrel,0.036066579674758265
13,Dalc,0.034116974962618216
14,traveltime,0.02540268641382186
15,address_U,0.02193281381388465
16,sex_M,0.019625013693258024
17,famsup_yes,0.01760340348650514
18,schoolsup_yes,0.017508813624227286
19,internet_yes,0.016495801542736496
20,reason_other,0.015074356920717564
21,activities_yes,0.013386328180062296
22,Fjob_teacher,0.013226216274054403
23,nursery_yes,0.013190251965988494
24,famsize_LE3,0.012665344694439076
25,reason_home,0.012500243846743244
26,reason_reputation,0.012476999201231954
27,Fjob_services,0.012354222255549534
28,Mjob_teacher,0.011972462239570254
29,romantic_yes,0.011614074355481788
30,Fjob_other,0.010648408991871717
31,Mjob_other,0.010612855917866152
32,Mjob_services,0.00947458615139028
33,guardian_mother,0.009046215229713371
34,Pstatus_T,0.008448708397265463
35,Mjob_health,0.006971516201201108
36,paid_yes,0.005924578198091157
37,guardian_other,0.004475157119384903
38,Fjob_health,0.001744589841413357
